external_id,SMILES,value,source,measurement_type,reference,units,is_open,is_predicted
86,[H]C([H])([H])N(C([H])([H])C([H])([H])N(c2nc([H])c([H])c([H])c2[H])C([H])([H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])C([H])([H])[H],0.5,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
87,[H]C([H])([H])Oc(c([H])c2[H])c([H])c1c2nc([H])c([H])c1[C@](O[H])([H])[C@@]3([H])C([H])([H])[C@@]([C@@](/C([H])=C([H])/[H])([H])C([H])([H])N34)([H])C([H])([H])C4([H])[H],-0.5,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
88,FC(F)([H])OC(F)(F)[C@](Cl)([H])F,0.2,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
89,O=C5C(C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C(C2=NOc3c2c([H])c([H])c(F)c3[H])([H])C([H])([H])C([H])1[H])=C(N=C4C([H])([H])C([H])([H])C([H])([H])C([H])([H])N45)C([H])([H])[H],0,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
90,O=C(O[H])c1c(O[H])c([H])c([H])c([H])c1[H],-1.1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
91,O=C(O[H])C(C([H])([H])C([H])([H])C([H])([H])[H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-0.2,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
92,O=S(C([H])([H])[H])(c1c([H])c(N(c3c(S4)c([H])c([H])c([H])c3[H])C([H])([H])[C@@]([H])([H])[C@@]2([H])N([C@]([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C2)c4c([H])c1[H])=O,0.2,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
93,FS(F)(F)(F)(F)F,0.4,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
94,[H]c2c([H])c1c(N([H])[H])c(C([H])(C([H])3[H])[H])c(C([H])(C([H])3[H])[H])nc1c([H])c2[H],-0.1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
95,O=C1C(C([H])([H])c2c([H])nc(C([H])([H])[H])c([H])c2[H])=C([H])N=C(N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])c3nc([H])c(Br)c([H])c3C([H])([H])[H])N1[H],-1.9,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
96,O=C(N([H])C2=O)C1=C(N2C([H])([H])[H])N=C([H])N1C([H])([H])[H],-0.3,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
97,O=C(N2C([H])([H])[H])C1=C(N(C2=O)C([H])([H])[H])N=C([H])N1[H],-0.3,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
98,O=C(N1[H])C([C@](C([H])([H])C([H])([H])C([H])([H])[H])([H])[C@]([H])([H])[H])(C(N([H])C1=S)=O)C([H])([H])C([H])([H])[H],-0.1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
99,[H]C3=C(N([H])C([H])=N3)C1([H])C([H])([H])C([H])([H])N(/C(S[H])=N/C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])2[H])C([H])([H])C([H])1[H],-0.2,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
100,[H]C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])1C([H])([H])C([H])([H])N(c3c4c([H])c([H])c(SC([H])([H])[H])c3[H])c2c(S4)c([H])c([H])c([H])c2[H],0.2,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
101,[H][C@@]23C1=C(C([H])([H])[C@]([C@@]([H])([H])[H])([H])[C@]([H])2[C@@](C([H])([H])C([H])([H])[C@@](C#C[H])4O[H])([H])[C@]4([C@@]([H])([H])[H])C([H])([H])C([H])3[H])C([H])([H])C(C([H])([H])C([H])1[H])=O,0.4,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
102,N#CN([H])/C(N([H])C([H])([H])C([H])([H])SC([H])([H])C1=C([H])SC(/N=C(N([H])[H])/N([H])[H])=N1)=N\C([H])([H])[H],-0.8,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
103,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.4,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
104,Cl/C(Cl)=C([H])/Cl,0.3,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
105,[H]c1c([H])c(N(C([H])(C([H])(C([H])(N(C([H])(C([H])3[H])[H])C([H])(C([H])(N3C([H])([H])[H])[H])[H])[H])[H])[H])c2c4c([H])c([H])c(C(F)(F)F)c2[H])c(S4)c([H])c1[H],1.4,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
106,N#CC(c2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c2[H])(C(C([H])([H])[H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])c1c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c1[H])C([H])([H])[H],-0.7,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
107,[H]C(N1[C@@](C([H])([C@@]([C@@]([C@@]([H])(O[H])[H])(O2)[H])(N=[N+]=[N-])[H])[H])2[H])=C(C([H])([H])[H])C(N(C1=O)[H])=O,-0.7,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
108,[H]c1c([H])c(N=C4N([H])C([H])([H])C([H])([H])C([H])([H])Oc2c([H])c(C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])3[H])c([H])c([H])c2[H])c(S4)c([H])c1[H],0.1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
